state,undisbursed_amount_greater_than_0,total_loan_apps,percent_of_loans
LA,454,2862,15.86303284416492
TN,385,2448,15.727124183006536
IL,1713,11080,15.460288808664261
NY,594,3854,15.412558380902958
MI,429,2870,14.947735191637632
GA,1217,8865,13.728144388042866
TX,1022,7479,13.664928466372508
CA,1200,8837,13.579268982686433
OH,456,3363,13.559322033898304
FL,745,6522,11.422876418276601
